material,surface,emotion,hex,r,g,b,reflectivity,roughness
rubber,brushed,natural,#65EB7E,101,235,126,0.65,0.87
carbon fiber,raw,natural,#96752C,150,117,44,0.66,0.66
concrete,smooth,cold,#CE9E22,206,158,34,0.27,0.28
granite,brushed,cold,#7A12A3,122,18,163,0.68,0.99
bronze,matte,natural,#9F13D4,159,19,212,0.75,0.54
velvet,coated,calm,#71236B,113,35,107,0.77,0.68
foam,translucent,natural,#589926,88,153,38,0.86,0.64
wood,satin,soft,#EA6E5A,234,110,90,0.49,0.1
copper,smooth,natural,#DE0BDB,222,11,219,0.79,0.4
sand,brushed,professional,#62BA01,98,186,1,0.28,0.32
paper,brushed,cold,#26C0AA,38,192,170,0.44,0.2
foam,raw,calm,#084B11,8,75,17,0.41,0.25
stone,opaque,calm,#FA4A0C,250,74,12,0.23,0.89
concrete,rough,neutral,#9C79C7,156,121,199,0.75,0.35
metal,grainy,cold,#F1B154,241,177,84,0.78,0.41
ceramic,opaque,cold,#4F2D95,79,45,149,0.17,0.29
stone,matte,aggressive,#E55CD8,229,92,216,0.4,0.35
clay,satin,muted,#39843D,57,132,61,0.29,0.27
granite,raw,mysterious,#2E0ABB,46,10,187,0.25,0.53
marble,distressed,mysterious,#E20D1C,226,13,28,0.68,0.11
bronze,brushed,playful,#CB84CD,203,132,205,0.29,0.41
foam,soft-touch,aggressive,#3FEAE9,63,234,233,0.49,0.26
wood,porous,professional,#71A07C,113,160,124,0.33,0.35
clay,rough,natural,#D4807C,212,128,124,0.49,0.72
bronze,rough,neutral,#4376C2,67,118,194,0.95,0.61
tile,coated,luxury,#526B09,82,107,9,0.16,0.95
leather,rough,calm,#A1B0EB,161,176,235,0.2,0.97
brass,porous,warm,#2F33FB,47,51,251,0.37,0.54
concrete,smooth,playful,#3A9CE1,58,156,225,0.69,0.92
rubber,satin,aggressive,#B80C13,184,12,19,0.1,0.35
metal,grainy,luxury,#FCA3A9,252,163,169,0.42,0.36
ceramic,porous,cold,#4BA9CC,75,169,204,0.83,0.98
leather,brushed,muted,#E3F990,227,249,144,0.34,0.76
marble,rough,neutral,#BBBAAC,187,186,172,0.13,0.05
rubber,textured,mysterious,#63971B,99,151,27,0.36,0.28
copper,grainy,energetic,#B3C8A2,179,200,162,0.56,0.13
brass,opaque,natural,#FD1BA1,253,27,161,0.57,0.66
stone,smooth,warm,#2B8075,43,128,117,0.28,0.45
foam,smooth,muted,#017056,1,112,86,0.77,0.49
granite,weathered,bright,#C0888C,192,136,140,0.14,0.92
copper,grainy,calm,#7A525A,122,82,90,0.42,0.38
ceramic,porous,natural,#9E9EFF,158,158,255,0.57,0.71
tile,weathered,energetic,#7D96BD,125,150,189,0.32,0.47
glass,reflective,professional,#121036,18,16,54,0.63,0.84
marble,weathered,playful,#4AEE21,74,238,33,0.69,0.52
aluminum,matte,aggressive,#F3BA7E,243,186,126,0.77,0.55
wood,opaque,cold,#0E20AF,14,32,175,0.17,0.06
plastic,opaque,playful,#28DF89,40,223,137,0.62,0.52
granite,soft-touch,playful,#896334,137,99,52,0.31,0.67
copper,glossy,muted,#863E03,134,62,3,0.66,0.53
marble,translucent,natural,#DAE981,218,233,129,0.79,0.59
foam,soft-touch,luxury,#6CF38D,108,243,141,0.71,0.18
wood,opaque,luxury,#B18ECC,177,142,204,0.32,0.02
rubber,translucent,muted,#695450,105,84,80,0.52,0.85
leather,translucent,mysterious,#3DF824,61,248,36,0.51,0.25
glass,weathered,energetic,#4D20AD,77,32,173,0.37,0.33
carbon fiber,distressed,professional,#81A0EF,129,160,239,0.91,0.92
concrete,satin,energetic,#B13D5B,177,61,91,0.7,0.69
steel,brushed,energetic,#C3841D,195,132,29,0.13,0.83
glass,coated,playful,#B026FA,176,38,250,0.16,0.49
glass,soft-touch,energetic,#A4F9C3,164,249,195,0.92,0.51
aluminum,rough,muted,#198C6D,25,140,109,0.46,0.75
plastic,reflective,muted,#C2D407,194,212,7,0.53,0.54
granite,reflective,calm,#42F4D9,66,244,217,0.24,0.45
glass,matte,natural,#88BC76,136,188,118,0.26,0.56
plastic,matte,warm,#505C87,80,92,135,0.11,0.16
paper,smooth,bright,#4483D6,68,131,214,0.58,0.76
granite,matte,mysterious,#2EE681,46,230,129,0.61,0.62
steel,matte,energetic,#8299EE,130,153,238,0.87,0.84
foam,glossy,neutral,#B4B256,180,178,86,0.27,0.68
glass,aged,calm,#5252E1,82,82,225,0.89,0.58
concrete,porous,muted,#2A19EF,42,25,239,0.77,0.65
brass,brushed,warm,#74BE7B,116,190,123,0.11,0.1
paper,opaque,soft,#FC13E3,252,19,227,0.4,0.65
copper,polished,luxury,#716FB3,113,111,179,0.17,0.38
rubber,distressed,bright,#26397A,38,57,122,0.33,0.39
tile,glossy,bright,#9C61E7,156,97,231,0.69,0.61
rubber,opaque,mysterious,#7B550F,123,85,15,0.63,0.32
sand,soft-touch,neutral,#42E53F,66,229,63,0.11,0.9
foam,distressed,bright,#7AA2DD,122,162,221,0.92,0.81
aluminum,opaque,calm,#35056C,53,5,108,0.58,0.07
paper,textured,playful,#B9A838,185,168,56,0.12,0.75
steel,coated,mysterious,#C97FF5,201,127,245,0.5,0.21
steel,coated,professional,#9C3344,156,51,68,0.37,0.65
plastic,soft-touch,muted,#26C74F,38,199,79,0.82,0.45
velvet,coated,playful,#C9C426,201,196,38,0.74,0.94
steel,raw,mysterious,#92970C,146,151,12,0.53,0.73
tile,brushed,neutral,#426F90,66,111,144,0.3,0.5
steel,grainy,energetic,#5D4F3C,93,79,60,0.66,0.62
copper,brushed,bright,#7F805A,127,128,90,0.83,0.01
wood,matte,natural,#84AF11,132,175,17,0.54,0.41
stone,brushed,warm,#3E2641,62,38,65,0.75,0.35
leather,matte,natural,#A8451A,168,69,26,0.84,0.43
carbon fiber,grainy,calm,#9F108C,159,16,140,0.71,0.59
marble,opaque,aggressive,#2257FB,34,87,251,0.6,0.09
wood,brushed,aggressive,#DAA4B5,218,164,181,0.82,0.51
sand,lacquered,bright,#AC2FE3,172,47,227,0.65,0.4
marble,weathered,luxury,#441ED6,68,30,214,0.64,0.85
bronze,coated,natural,#76B8D9,118,184,217,0.66,0.45
sand,raw,warm,#9409C1,148,9,193,0.86,0.71
concrete,smooth,cold,#F0186C,240,24,108,0.54,0.96
paper,glossy,professional,#AF47E7,175,71,231,0.62,0.01
bronze,raw,calm,#78A542,120,165,66,0.85,0.93
clay,grainy,soft,#BC7EC1,188,126,193,0.8,0.21
bronze,matte,aggressive,#3ADBAB,58,219,171,0.76,0.1
plastic,rough,playful,#ACEE5C,172,238,92,0.64,0.99
carbon fiber,raw,professional,#D0DF4E,208,223,78,0.29,0.3
foam,brushed,energetic,#88C303,136,195,3,0.28,0.73
rubber,matte,mysterious,#962603,150,38,3,0.36,0.07
concrete,polished,calm,#6FDDCE,111,221,206,0.88,0.32
plastic,porous,professional,#2597B9,37,151,185,0.51,0.07
fabric,porous,mysterious,#396734,57,103,52,0.64,0.85
granite,porous,muted,#87D2EC,135,210,236,0.57,0.87
glass,matte,aggressive,#2C74AC,44,116,172,0.56,0.63
tile,porous,calm,#DEAE59,222,174,89,0.23,0.59
clay,matte,natural,#82771A,130,119,26,0.16,0.23
marble,coated,neutral,#582D47,88,45,71,0.89,0.34
aluminum,raw,playful,#8E91E5,142,145,229,0.75,0.8
sand,rough,professional,#EB7651,235,118,81,0.55,0.79
marble,soft-touch,neutral,#0731E1,7,49,225,0.91,0.88
ceramic,polished,neutral,#B25971,178,89,113,0.43,0.58
sand,porous,energetic,#4AF58B,74,245,139,0.14,0.81
brass,matte,calm,#350180,53,1,128,0.48,0.85
steel,reflective,mysterious,#A2F842,162,248,66,0.23,0.46
bronze,polished,playful,#9C002D,156,0,45,0.33,0.2
velvet,porous,neutral,#16D333,22,211,51,0.47,0.92
carbon fiber,grainy,professional,#D02786,208,39,134,0.86,0.76
metal,reflective,bright,#D1844B,209,132,75,0.68,0.12
stone,porous,cold,#CD57FF,205,87,255,0.71,0.74
leather,polished,professional,#C3D6CE,195,214,206,0.11,0.3
stone,satin,luxury,#BD053A,189,5,58,0.79,0.42
sand,soft-touch,professional,#4FDBDC,79,219,220,0.83,0.11
granite,textured,cold,#07A856,7,168,86,0.52,0.68
ceramic,brushed,mysterious,#828F1D,130,143,29,0.5,0.23
concrete,coated,warm,#9E0586,158,5,134,0.43,0.24
leather,textured,calm,#85BE87,133,190,135,0.29,0.22
carbon fiber,reflective,luxury,#88A265,136,162,101,0.21,0.16
leather,opaque,neutral,#8BC745,139,199,69,0.24,0.64
rubber,coated,mysterious,#5AB9D9,90,185,217,0.86,0.85
ceramic,translucent,neutral,#A2E6D5,162,230,213,0.27,0.65
sand,porous,luxury,#1D29AA,29,41,170,0.84,0.69
stone,weathered,muted,#41EA0A,65,234,10,0.59,0.21
fabric,smooth,mysterious,#CE8A09,206,138,9,0.74,0.41
marble,brushed,playful,#3817B5,56,23,181,0.8,0.92
granite,coated,calm,#32AD50,50,173,80,0.11,0.47
carbon fiber,distressed,aggressive,#F72F56,247,47,86,0.76,0.7
glass,opaque,soft,#A0DE59,160,222,89,0.67,0.75
ceramic,grainy,cold,#97D6A0,151,214,160,0.68,0.24
clay,opaque,mysterious,#91C772,145,199,114,0.9,0.04
carbon fiber,porous,neutral,#DB1AFB,219,26,251,0.6,0.94
marble,weathered,bright,#CD7BA1,205,123,161,0.91,0.69
paper,lacquered,soft,#9C41CB,156,65,203,0.62,0.09
brass,translucent,luxury,#DD7711,221,119,17,0.89,0.18
carbon fiber,distressed,bright,#733B77,115,59,119,0.46,0.3
granite,weathered,energetic,#174B7D,23,75,125,0.34,0.57
aluminum,soft-touch,warm,#AFA9EC,175,169,236,0.85,0.11
marble,opaque,neutral,#7C406E,124,64,110,0.46,0.55
foam,brushed,natural,#3816C9,56,22,201,0.12,0.04
fabric,weathered,muted,#0366B2,3,102,178,0.14,0.25
glass,smooth,warm,#E5AA5B,229,170,91,0.64,0.1
carbon fiber,aged,cold,#619DB6,97,157,182,0.27,0.66
aluminum,brushed,muted,#81CCB1,129,204,177,0.73,0.34
copper,smooth,bright,#F5F495,245,244,149,0.64,0.13
paper,textured,aggressive,#A1097E,161,9,126,0.72,0.15
fabric,porous,energetic,#F4F5F7,244,245,247,0.3,0.01
granite,lacquered,aggressive,#9F5236,159,82,54,0.83,1.0
stone,coated,aggressive,#FBC5E9,251,197,233,0.74,0.62
brass,textured,warm,#5555A3,85,85,163,0.22,0.08
plastic,opaque,aggressive,#539E85,83,158,133,0.43,0.67
marble,brushed,warm,#184CF6,24,76,246,0.21,0.97
granite,polished,neutral,#580EC0,88,14,192,0.55,0.42
fabric,rough,neutral,#4412A2,68,18,162,0.85,0.11
sand,polished,professional,#9AE6AF,154,230,175,0.45,0.21
copper,smooth,energetic,#F9043B,249,4,59,0.44,0.61
brass,translucent,warm,#FBC016,251,192,22,0.94,0.06
rubber,grainy,natural,#791A39,121,26,57,0.51,0.23
granite,reflective,cold,#27FB6E,39,251,110,0.58,0.4
carbon fiber,satin,bright,#34F6E1,52,246,225,0.45,0.4
copper,translucent,aggressive,#466C48,70,108,72,0.73,0.61
velvet,translucent,luxury,#4E8029,78,128,41,0.85,0.37
tile,porous,luxury,#9A4B45,154,75,69,0.22,0.8
marble,aged,professional,#BF3E46,191,62,70,0.73,0.93
tile,grainy,playful,#BAE637,186,230,55,0.25,0.22
glass,coated,muted,#4C3C69,76,60,105,0.15,0.54
ceramic,lacquered,calm,#3F65FD,63,101,253,0.8,0.92
foam,translucent,muted,#CF44F8,207,68,248,0.51,0.24
paper,textured,luxury,#450962,69,9,98,0.67,0.22
glass,soft-touch,cold,#1C3F97,28,63,151,0.49,0.2
tile,textured,calm,#770313,119,3,19,0.22,0.88
marble,glossy,cold,#F1AE08,241,174,8,0.22,0.44
marble,raw,natural,#1E5FFB,30,95,251,0.47,0.99
fabric,textured,soft,#1FA570,31,165,112,0.11,0.46
carbon fiber,grainy,energetic,#E7A7BD,231,167,189,0.21,0.41
paper,smooth,bright,#7C9CC1,124,156,193,0.48,0.33
marble,opaque,mysterious,#6692F7,102,146,247,0.42,0.23
clay,smooth,natural,#3CD2D5,60,210,213,0.21,0.57
glass,brushed,calm,#BB64AC,187,100,172,0.7,0.19
marble,raw,playful,#93B6D8,147,182,216,0.11,0.32
aluminum,soft-touch,neutral,#3B4738,59,71,56,0.61,0.81
stone,weathered,professional,#F2E2A6,242,226,166,0.53,0.66
fabric,satin,professional,#F404A0,244,4,160,0.5,0.96
aluminum,lacquered,luxury,#2D6258,45,98,88,0.35,0.85
tile,reflective,muted,#A23C4B,162,60,75,0.44,0.38
carbon fiber,opaque,bright,#2AD817,42,216,23,0.91,0.95
plastic,weathered,energetic,#0BB322,11,179,34,0.62,0.59
marble,porous,soft,#0A05D5,10,5,213,0.85,0.17
granite,distressed,luxury,#8BD57F,139,213,127,0.29,0.56
plastic,polished,playful,#BDB80B,189,184,11,0.7,0.26
rubber,brushed,warm,#10A471,16,164,113,0.32,0.02
glass,satin,natural,#0A7275,10,114,117,0.27,0.46
brass,brushed,natural,#6E78D9,110,120,217,0.23,0.04
wood,reflective,muted,#D9BCC9,217,188,201,0.85,0.55
marble,soft-touch,cold,#589103,88,145,3,0.78,0.38
metal,porous,aggressive,#5C4742,92,71,66,0.31,0.58
carbon fiber,translucent,bright,#B9F93E,185,249,62,0.71,0.35
copper,soft-touch,bright,#140E1B,20,14,27,0.65,0.88
granite,satin,mysterious,#DADDBB,218,221,187,0.42,0.35
granite,polished,luxury,#8E85E7,142,133,231,0.15,0.98
clay,aged,natural,#DE51DE,222,81,222,0.31,0.67
plastic,porous,natural,#AA97F6,170,151,246,0.18,0.37
stone,lacquered,bright,#FBCCFB,251,204,251,0.89,0.88
tile,soft-touch,mysterious,#DFC196,223,193,150,0.45,0.86
wood,matte,energetic,#DBCA9D,219,202,157,0.6,0.04
aluminum,soft-touch,mysterious,#ACC2CE,172,194,206,0.26,0.76
sand,soft-touch,muted,#FF4C17,255,76,23,0.93,0.21
marble,coated,energetic,#508D3D,80,141,61,0.82,0.18
wood,matte,calm,#7574BA,117,116,186,0.44,0.04
steel,translucent,soft,#014392,1,67,146,0.34,0.86
tile,aged,natural,#7956F4,121,86,244,0.38,0.41
metal,brushed,neutral,#35DC98,53,220,152,0.84,0.97
glass,soft-touch,calm,#0AD01C,10,208,28,0.46,0.74
stone,satin,calm,#489204,72,146,4,0.44,0.23
rubber,rough,mysterious,#E2283C,226,40,60,0.39,0.46
velvet,polished,professional,#30DB74,48,219,116,0.68,0.32
concrete,reflective,mysterious,#1A30CF,26,48,207,0.89,0.17
steel,rough,warm,#009B88,0,155,136,0.35,0.22
carbon fiber,aged,muted,#49DFA2,73,223,162,0.37,0.97
carbon fiber,opaque,warm,#133C0C,19,60,12,0.8,0.12
sand,coated,energetic,#EFA11F,239,161,31,0.17,0.2
glass,textured,professional,#29655A,41,101,90,0.69,0.4
carbon fiber,soft-touch,professional,#5F8C41,95,140,65,0.37,0.93
granite,rough,natural,#1A2848,26,40,72,0.75,0.34
rubber,distressed,mysterious,#F367D5,243,103,213,0.18,0.29
leather,weathered,cold,#DBAC5C,219,172,92,0.21,0.45
tile,weathered,soft,#D8BA31,216,186,49,0.39,0.85
copper,distressed,playful,#7A9496,122,148,150,0.51,0.68
glass,coated,energetic,#56EC7D,86,236,125,0.5,0.51
stone,reflective,playful,#4C57D7,76,87,215,0.89,0.89
marble,rough,warm,#A99FC6,169,159,198,0.86,0.2
bronze,satin,muted,#176B1B,23,107,27,0.53,0.61
wood,raw,warm,#63722D,99,114,45,0.28,0.5
tile,translucent,luxury,#04F4D3,4,244,211,0.3,0.36
carbon fiber,raw,energetic,#0207B9,2,7,185,0.84,0.53
fabric,aged,mysterious,#6D51C4,109,81,196,0.29,0.63
carbon fiber,reflective,professional,#BA6A99,186,106,153,0.19,0.37
aluminum,raw,playful,#617D74,97,125,116,0.59,0.34
carbon fiber,soft-touch,energetic,#415305,65,83,5,0.86,0.96
foam,aged,soft,#5D21B2,93,33,178,0.32,0.77
marble,soft-touch,bright,#97F52B,151,245,43,0.78,0.51
granite,smooth,warm,#DEF033,222,240,51,0.83,0.19
plastic,porous,neutral,#438FAF,67,143,175,0.41,0.75
metal,smooth,mysterious,#4CB4DC,76,180,220,0.68,0.69
tile,coated,neutral,#F2E6AC,242,230,172,0.22,0.77
velvet,rough,mysterious,#C72AE3,199,42,227,0.8,0.38
paper,weathered,neutral,#E145C9,225,69,201,0.32,0.49
wood,smooth,mysterious,#B6A508,182,165,8,0.94,0.51
rubber,coated,calm,#CAE9CB,202,233,203,0.34,0.37
concrete,opaque,soft,#C71200,199,18,0,0.19,0.64
tile,glossy,playful,#9C4750,156,71,80,0.27,0.08
copper,grainy,warm,#CB8A02,203,138,2,0.38,0.38
leather,polished,warm,#BC8447,188,132,71,0.94,0.71
foam,rough,muted,#739216,115,146,22,0.51,0.14
foam,polished,natural,#39AF00,57,175,0,0.33,0.76
marble,weathered,luxury,#A7B869,167,184,105,0.23,0.74
granite,weathered,cold,#73E251,115,226,81,0.61,0.16
sand,reflective,bright,#8FA24A,143,162,74,0.54,0.23
steel,reflective,playful,#15B393,21,179,147,0.2,0.76
metal,glossy,playful,#DE007E,222,0,126,0.71,0.16
ceramic,polished,neutral,#E146AC,225,70,172,0.52,0.13
carbon fiber,smooth,warm,#5AD6E4,90,214,228,0.14,0.55
paper,polished,professional,#07F791,7,247,145,0.5,0.64
bronze,polished,warm,#3FD37E,63,211,126,0.36,0.61
carbon fiber,rough,soft,#721488,114,20,136,0.63,0.98
leather,lacquered,playful,#C39C6B,195,156,107,0.76,0.93
rubber,polished,luxury,#7BEA51,123,234,81,0.62,0.57
wood,weathered,energetic,#10FAC9,16,250,201,0.92,0.79
clay,lacquered,warm,#9007FB,144,7,251,0.16,0.21
foam,translucent,natural,#5F9E84,95,158,132,0.5,0.48
rubber,reflective,aggressive,#2FF48A,47,244,138,0.56,0.16
wood,aged,playful,#C19C52,193,156,82,0.83,0.17
ceramic,translucent,calm,#2A869C,42,134,156,0.42,0.91
aluminum,aged,aggressive,#B53D50,181,61,80,0.47,0.33
metal,smooth,natural,#6F3B51,111,59,81,0.8,0.56
rubber,porous,warm,#59FBBA,89,251,186,0.23,0.97
clay,porous,neutral,#C36F84,195,111,132,0.48,0.43
paper,lacquered,playful,#52DB19,82,219,25,0.63,0.74
carbon fiber,translucent,luxury,#3672ED,54,114,237,0.73,0.7
copper,soft-touch,professional,#0614B2,6,20,178,0.21,0.46
rubber,smooth,playful,#123947,18,57,71,0.29,0.68
steel,brushed,playful,#D2FB7B,210,251,123,0.84,0.13
metal,coated,playful,#36CF60,54,207,96,0.6,0.21
tile,textured,energetic,#A90D29,169,13,41,0.38,0.03
bronze,reflective,neutral,#3B0F56,59,15,86,0.67,0.48
stone,polished,muted,#AA1397,170,19,151,0.35,0.8
tile,weathered,aggressive,#417CEF,65,124,239,0.84,0.62
rubber,translucent,warm,#59D05C,89,208,92,0.33,0.12
foam,porous,luxury,#615B29,97,91,41,0.22,0.12
wood,grainy,neutral,#AD7B64,173,123,100,0.14,0.98
velvet,brushed,luxury,#6B0872,107,8,114,0.54,0.43
tile,distressed,bright,#5AE4DE,90,228,222,0.77,0.51
concrete,distressed,playful,#100ECF,16,14,207,0.65,0.16
tile,reflective,professional,#8AD33D,138,211,61,0.77,0.48
rubber,polished,warm,#5C0DE5,92,13,229,0.22,0.5
paper,lacquered,playful,#894A86,137,74,134,0.26,0.48
aluminum,lacquered,energetic,#4E4369,78,67,105,0.25,0.59
wood,polished,calm,#C3B2E2,195,178,226,0.12,0.01
carbon fiber,rough,cold,#43F0FC,67,240,252,0.3,0.52
metal,reflective,playful,#BA4522,186,69,34,0.53,0.91
paper,textured,cold,#C33DB5,195,61,181,0.22,0.23
clay,soft-touch,muted,#75649D,117,100,157,0.53,0.11
aluminum,glossy,natural,#3E5183,62,81,131,0.78,0.36
copper,polished,playful,#1EDB8C,30,219,140,0.83,0.39
clay,coated,warm,#FEDBAE,254,219,174,0.82,0.16
velvet,coated,mysterious,#434680,67,70,128,0.91,0.99
ceramic,raw,calm,#CDA92F,205,169,47,0.46,0.66
concrete,glossy,professional,#77F332,119,243,50,0.28,0.38
tile,textured,professional,#6C75C1,108,117,193,0.45,0.1
plastic,glossy,professional,#FFF465,255,244,101,0.77,1.0
leather,raw,professional,#C8FEE7,200,254,231,0.46,0.57
velvet,polished,warm,#062B1C,6,43,28,0.69,0.33
plastic,reflective,neutral,#C81A64,200,26,100,0.62,0.19
concrete,glossy,natural,#B46774,180,103,116,0.12,0.65
brass,brushed,calm,#C24054,194,64,84,0.5,0.73
leather,weathered,luxury,#BA0D99,186,13,153,0.38,0.91
wood,grainy,playful,#101810,16,24,16,0.13,0.36
marble,brushed,natural,#169F08,22,159,8,0.33,0.52
bronze,glossy,cold,#A22FA1,162,47,161,0.33,0.34
aluminum,matte,mysterious,#AC1D11,172,29,17,0.19,0.94
aluminum,smooth,warm,#C5F90D,197,249,13,0.41,0.59
velvet,textured,calm,#D10CBC,209,12,188,0.69,0.45
copper,opaque,warm,#7DF720,125,247,32,0.56,0.4
plastic,grainy,cold,#F31673,243,22,115,0.76,0.56
foam,aged,muted,#B812DF,184,18,223,0.23,0.26
marble,rough,luxury,#D59CD8,213,156,216,0.58,0.52
metal,porous,natural,#960A50,150,10,80,0.73,0.74
velvet,polished,bright,#D07CB9,208,124,185,0.48,0.95
velvet,brushed,mysterious,#201738,32,23,56,0.28,0.17
steel,satin,playful,#F0E416,240,228,22,0.92,0.49
marble,polished,professional,#D7FA56,215,250,86,0.59,0.17
paper,reflective,natural,#FFE588,255,229,136,0.78,0.22
brass,opaque,cold,#3F83A7,63,131,167,0.27,0.62
stone,translucent,professional,#C6334F,198,51,79,0.9,0.74
brass,textured,neutral,#73DA6D,115,218,109,0.69,0.08
aluminum,opaque,cold,#5BA4EA,91,164,234,0.4,0.57
plastic,brushed,aggressive,#8F78D0,143,120,208,0.74,0.15
foam,opaque,cold,#70DFAD,112,223,173,0.28,0.82
glass,satin,warm,#FFB207,255,178,7,0.92,0.96
concrete,smooth,energetic,#60C78A,96,199,138,0.5,0.41
bronze,matte,professional,#89B0C1,137,176,193,0.58,0.97
concrete,matte,aggressive,#11F95C,17,249,92,0.93,0.82
marble,reflective,soft,#692E9E,105,46,158,0.65,0.89
clay,smooth,playful,#4B998A,75,153,138,0.27,0.27
foam,glossy,calm,#EA8BD6,234,139,214,0.24,0.86
copper,raw,aggressive,#2DE478,45,228,120,0.95,0.15
stone,translucent,professional,#6C4510,108,69,16,0.33,0.42
stone,coated,professional,#054657,5,70,87,0.91,0.72
concrete,lacquered,mysterious,#545C6D,84,92,109,0.36,0.36
paper,reflective,soft,#0AF3BC,10,243,188,0.89,0.67
marble,soft-touch,playful,#C99855,201,152,85,0.27,0.3
leather,distressed,muted,#4AD7D9,74,215,217,0.26,0.96
aluminum,weathered,calm,#693815,105,56,21,0.59,0.43
velvet,porous,bright,#FFBA93,255,186,147,0.87,0.23
plastic,aged,soft,#7AC66C,122,198,108,0.79,0.77
bronze,grainy,aggressive,#74B85C,116,184,92,0.89,0.49
fabric,matte,aggressive,#967D13,150,125,19,0.63,0.29
carbon fiber,translucent,soft,#A43DB3,164,61,179,0.41,0.39
fabric,weathered,mysterious,#4969C1,73,105,193,0.42,0.86
velvet,reflective,neutral,#93A801,147,168,1,0.23,0.28
stone,brushed,luxury,#C00533,192,5,51,0.83,0.5
wood,weathered,soft,#543867,84,56,103,0.16,0.02
granite,soft-touch,aggressive,#27EB81,39,235,129,0.42,0.25
velvet,smooth,soft,#AA5AEA,170,90,234,0.36,0.2
velvet,distressed,playful,#04BB7C,4,187,124,0.31,0.98
aluminum,grainy,calm,#760572,118,5,114,0.87,0.15
aluminum,lacquered,soft,#5CDA30,92,218,48,0.68,0.52
metal,rough,energetic,#14E952,20,233,82,0.39,0.1
carbon fiber,distressed,cold,#B95B99,185,91,153,0.39,0.14
copper,distressed,playful,#45DD97,69,221,151,0.5,0.93
marble,brushed,mysterious,#CF4DDA,207,77,218,0.49,0.35
leather,lacquered,natural,#6CCDF3,108,205,243,0.34,0.1
plastic,rough,natural,#4425CC,68,37,204,0.44,0.43
granite,smooth,professional,#91452A,145,69,42,0.56,0.72
bronze,glossy,neutral,#E0BD71,224,189,113,0.56,0.69
copper,weathered,playful,#C84D9F,200,77,159,0.83,0.63
foam,translucent,mysterious,#45D41B,69,212,27,0.43,0.94
wood,polished,mysterious,#001A2A,0,26,42,0.53,0.89
sand,satin,natural,#41C4A0,65,196,160,0.38,0.24
stone,porous,neutral,#2A105A,42,16,90,0.89,0.37
stone,satin,calm,#EB9E9C,235,158,156,0.4,0.66
glass,glossy,neutral,#A187D7,161,135,215,0.92,0.84
wood,porous,cold,#9BFB00,155,251,0,0.26,0.33
glass,brushed,warm,#68EE1D,104,238,29,0.23,0.57
rubber,matte,aggressive,#EB4B99,235,75,153,0.22,0.77
marble,raw,playful,#BB5609,187,86,9,0.79,0.53
metal,weathered,energetic,#CBA89C,203,168,156,0.33,0.3
carbon fiber,glossy,cold,#A68840,166,136,64,0.16,0.52
bronze,opaque,professional,#2F95A7,47,149,167,0.74,0.67
clay,textured,muted,#E85306,232,83,6,0.15,0.35
plastic,polished,bright,#09FD16,9,253,22,0.62,0.26
carbon fiber,weathered,cold,#F53159,245,49,89,0.94,0.26
clay,weathered,bright,#892D7C,137,45,124,0.76,0.5
fabric,aged,energetic,#7EFA67,126,250,103,0.5,0.5
granite,porous,muted,#7B4407,123,68,7,0.65,0.79
concrete,grainy,soft,#14BD94,20,189,148,0.48,0.02
brass,porous,professional,#C6BF36,198,191,54,0.18,0.95
clay,matte,energetic,#81BCCE,129,188,206,0.6,0.36
granite,translucent,aggressive,#3F087F,63,8,127,0.9,0.61
fabric,polished,aggressive,#748E5E,116,142,94,0.63,0.83
aluminum,porous,cold,#26D55B,38,213,91,0.3,0.68
tile,raw,energetic,#FED63C,254,214,60,0.41,0.16
leather,soft-touch,bright,#5C8F5C,92,143,92,0.4,0.07
foam,translucent,calm,#D2E015,210,224,21,0.28,0.86
copper,soft-touch,cold,#906F8F,144,111,143,0.74,0.1
bronze,aged,cold,#6D75FD,109,117,253,0.29,0.34
marble,satin,aggressive,#95843E,149,132,62,0.63,0.83
concrete,smooth,aggressive,#03EAC6,3,234,198,0.93,0.33
ceramic,smooth,natural,#653047,101,48,71,0.46,0.67
foam,smooth,bright,#A85A03,168,90,3,0.24,0.21
foam,weathered,cold,#1384FE,19,132,254,0.69,0.3
clay,soft-touch,soft,#1F8C34,31,140,52,0.28,0.55
fabric,matte,soft,#2CA9E5,44,169,229,0.22,0.01
velvet,rough,professional,#CE14F5,206,20,245,0.8,0.11
steel,soft-touch,natural,#B74E2A,183,78,42,0.7,0.91
glass,grainy,soft,#6267D4,98,103,212,0.86,0.01
sand,reflective,natural,#00FACE,0,250,206,0.77,0.38
velvet,smooth,warm,#EE650E,238,101,14,0.86,0.84
brass,aged,soft,#BB2969,187,41,105,0.82,0.24
wood,raw,aggressive,#233F17,35,63,23,0.73,0.93
velvet,glossy,soft,#C322B2,195,34,178,0.19,0.73
copper,translucent,soft,#618E50,97,142,80,0.17,0.37
carbon fiber,raw,mysterious,#85CB20,133,203,32,0.81,0.53
tile,porous,soft,#B484CA,180,132,202,0.74,0.11
marble,polished,professional,#DC5DBE,220,93,190,0.79,0.74
aluminum,lacquered,aggressive,#A7F8B2,167,248,178,0.89,0.6
steel,distressed,playful,#3CDDEB,60,221,235,0.58,0.52
brass,matte,mysterious,#E6F72C,230,247,44,0.93,0.91
fabric,rough,playful,#B1A59F,177,165,159,0.66,0.93
