context,object_category,emotion,hex,r,g,b,saturation,brightness,mood_score
cyberpunk alley,lab,calm,#CD6FA5,205,111,165,0.26,0.32,0.4
abandoned railway,crystal,nostalgic,#87EEE1,135,238,225,0.32,0.73,0.78
quiet meadow,stone,warm,#842DBA,132,45,186,0.93,0.46,0.69
abandoned railway,nature,excited,#CFEC19,207,236,25,0.64,0.24,0.35
lantern-lit street,sand,focused,#15D472,21,212,114,0.11,0.36,0.5
dilapidated warehouse,temple,focused,#D2CBB0,210,203,176,0.35,0.56,0.99
futuristic lab,market,energetic,#9CE167,156,225,103,0.71,0.84,0.48
quiet meadow,temple,intense,#32FF57,50,255,87,0.19,0.87,0.8
abandoned railway,metal/rust,calm,#4BD857,75,216,87,0.93,0.25,0.86
abandoned railway,rain,peaceful,#98C63B,152,198,59,0.88,0.87,0.84
urban rooftop,underground,calm,#A1FF31,161,255,49,0.29,0.11,0.66
dilapidated warehouse,cave,melancholic,#E6AE50,230,174,80,0.36,0.78,0.76
futuristic lab,coast,energetic,#FAD7DF,250,215,223,0.37,0.17,0.54
foggy mountain trail,metal/rust,energetic,#77792B,119,121,43,0.48,0.42,0.89
enchanted garden,garden,lonely,#0B7CCD,11,124,205,0.93,0.11,0.88
enchanted garden,rain,happy,#2A7C97,42,124,151,0.87,0.77,0.8
dilapidated warehouse,concrete,calm,#EFD93C,239,217,60,0.75,0.76,0.51
old library,artificial-light,intense,#CF339B,207,51,155,0.85,0.75,0.67
underground bunker,cave,happy,#F42EE5,244,46,229,0.89,0.29,0.59
ancient temple,garden,warm,#940BCC,148,11,204,0.42,0.24,0.64
neon arcade room,rain,warm,#AE62D1,174,98,209,0.88,0.81,0.97
rainy night market,garden,dark,#DBD060,219,208,96,0.64,0.96,0.94
stormy coastline,urban,happy,#4345C7,67,69,199,0.5,0.45,0.5
dilapidated warehouse,metal/rust,energetic,#6913F8,105,19,248,0.66,0.87,0.7
sunrise beach,lab,romantic,#0FBA40,15,186,64,0.84,0.27,0.7
dilapidated warehouse,concrete,peaceful,#DB89EF,219,137,239,0.38,0.77,0.89
forest shrine,grassland,mysterious,#034378,3,67,120,0.63,0.15,0.61
rainy night market,stone,serene,#C6E419,198,228,25,0.36,0.5,0.44
urban rooftop,fog/mist,romantic,#648C19,100,140,25,0.82,0.86,0.82
foggy mountain trail,grassland,mysterious,#9EA9CD,158,169,205,0.84,0.51,0.35
dilapidated warehouse,crystal,warm,#C5B24B,197,178,75,0.98,0.91,0.44
underground bunker,fog/mist,intense,#DD5644,221,86,68,0.16,0.73,0.92
foggy mountain trail,nature,playful,#24F0FD,36,240,253,0.64,0.4,0.56
enchanted garden,metal/rust,mysterious,#96EDE2,150,237,226,0.3,0.34,0.68
forest shrine,concrete,excited,#0A3F8F,10,63,143,0.88,0.23,1.0
neon arcade room,artificial-light,mysterious,#8A3C97,138,60,151,0.99,0.85,0.77
futuristic lab,cave,warm,#5A625D,90,98,93,0.85,0.83,0.49
neon arcade room,cave,mysterious,#A6ABE5,166,171,229,0.66,0.1,0.49
abandoned railway,nature,lonely,#A836DD,168,54,221,0.61,0.84,0.34
quiet meadow,crystal,energetic,#06D75E,6,215,94,0.97,0.72,0.95
urban rooftop,coast,excited,#C78749,199,135,73,0.34,0.27,0.61
lantern-lit street,urban,focused,#C6802C,198,128,44,0.97,0.57,0.63
enchanted garden,lab,romantic,#C1C704,193,199,4,0.43,0.22,0.31
rainy night market,garden,peaceful,#E972E4,233,114,228,0.14,0.32,0.37
stormy coastline,cyber,focused,#589F89,88,159,137,0.45,0.9,0.36
stormy coastline,artificial-light,dark,#45DC91,69,220,145,0.93,0.98,0.47
abandoned railway,grassland,excited,#F0A220,240,162,32,0.8,0.61,0.54
futuristic lab,wood,romantic,#7CE334,124,227,52,0.82,0.66,0.68
abandoned railway,garden,dark,#E665BB,230,101,187,0.44,0.79,0.37
crystal cavern,cave,playful,#BA6AD9,186,106,217,0.78,0.23,0.63
neon arcade room,temple,melancholic,#425769,66,87,105,0.77,0.29,0.54
lantern-lit street,rain,melancholic,#9F4A6A,159,74,106,0.43,0.23,0.44
rainy night market,lab,romantic,#521D21,82,29,33,0.99,0.78,0.45
crystal cavern,coast,romantic,#E37167,227,113,103,0.8,0.61,0.35
cyberpunk alley,grassland,intense,#36C703,54,199,3,0.96,0.85,0.8
quiet meadow,artificial-light,happy,#C59386,197,147,134,0.76,0.28,0.75
underground bunker,garden,dark,#A94251,169,66,81,0.79,0.71,0.38
crystal cavern,lab,energetic,#ED9409,237,148,9,0.95,0.37,0.5
crystal cavern,urban,calm,#1EDD6D,30,221,109,0.65,0.91,0.65
crystal cavern,lab,focused,#7C9315,124,147,21,0.96,0.75,0.34
stormy coastline,fog/mist,mysterious,#3256A8,50,86,168,0.53,0.55,0.95
sunrise beach,rain,warm,#364246,54,66,70,0.44,0.28,0.6
sunrise beach,nature,nostalgic,#AA3D69,170,61,105,0.79,0.54,0.58
underground bunker,sand,focused,#78E258,120,226,88,0.45,0.33,0.54
crystal cavern,stone,nostalgic,#A6B560,166,181,96,0.2,0.97,0.49
dilapidated warehouse,temple,lonely,#CA4302,202,67,2,0.84,0.2,0.3
futuristic lab,urban,excited,#2CB9EB,44,185,235,0.39,0.74,0.9
desert highway,concrete,happy,#CB7204,203,114,4,0.85,0.5,0.72
quiet meadow,cyber,dark,#60F1CA,96,241,202,0.4,0.81,0.82
forest shrine,rain,calm,#34E32C,52,227,44,0.59,0.23,0.89
old library,garden,playful,#D269B0,210,105,176,0.74,0.86,0.8
mossy cave,rain,peaceful,#8E0A19,142,10,25,0.62,0.25,0.72
ancient temple,temple,playful,#3356D0,51,86,208,0.16,0.96,0.87
sunrise beach,nature,lonely,#A8BD9B,168,189,155,0.57,0.16,0.8
lantern-lit street,wood,calm,#3FFFE4,63,255,228,0.38,0.53,0.35
underground bunker,wood,nostalgic,#C25FA5,194,95,165,0.16,0.25,0.4
cyberpunk alley,wood,calm,#0FE6BE,15,230,190,0.17,0.72,0.87
old library,temple,warm,#B2D108,178,209,8,0.76,0.14,0.89
stormy coastline,urban,melancholic,#BA793A,186,121,58,0.93,0.45,0.4
mossy cave,rain,energetic,#4A7FC7,74,127,199,0.15,0.4,0.39
foggy mountain trail,rain,romantic,#18224F,24,34,79,0.21,0.63,0.68
forest shrine,fog/mist,energetic,#6F5172,111,81,114,0.75,0.35,0.85
old library,rain,romantic,#DEE4D2,222,228,210,0.62,0.71,0.38
dilapidated warehouse,cave,romantic,#DC05E9,220,5,233,0.71,0.67,0.45
enchanted garden,cyber,serene,#5CBF37,92,191,55,0.42,0.33,0.61
rainy night market,grassland,dark,#858832,133,136,50,0.36,0.49,0.97
cyberpunk alley,stone,focused,#641D5E,100,29,94,0.3,0.78,0.76
stormy coastline,coast,peaceful,#2F9880,47,152,128,1.0,0.41,0.78
rainy night market,concrete,melancholic,#CA5B39,202,91,57,0.18,0.37,0.72
stormy coastline,grassland,nostalgic,#D49002,212,144,2,0.21,0.18,0.85
old library,crystal,happy,#29B199,41,177,153,0.31,0.6,0.81
cyberpunk alley,stone,nostalgic,#DE62CD,222,98,205,0.15,0.43,0.44
quiet meadow,fog/mist,serene,#C5273D,197,39,61,0.38,0.5,0.86
dilapidated warehouse,metal/rust,focused,#68D2FB,104,210,251,0.82,0.41,0.99
crystal cavern,concrete,lonely,#0E5BB6,14,91,182,0.24,0.43,0.79
stormy coastline,garden,happy,#D6B389,214,179,137,0.88,0.87,0.99
rainy night market,fog/mist,melancholic,#C028CE,192,40,206,1.0,0.54,0.82
crystal cavern,temple,lonely,#6B2118,107,33,24,0.86,0.92,0.87
neon arcade room,fog/mist,mysterious,#C74EC1,199,78,193,0.43,0.94,0.88
old library,crystal,focused,#96C6D4,150,198,212,0.47,0.45,0.54
old library,garden,warm,#4DB920,77,185,32,0.67,0.66,0.59
abandoned railway,crystal,lonely,#926405,146,100,5,0.13,0.59,0.81
desert highway,urban,romantic,#06B227,6,178,39,0.35,0.51,0.4
abandoned railway,market,focused,#178178,23,129,120,0.73,0.76,0.96
old library,coast,warm,#3AB18F,58,177,143,0.7,0.21,0.47
urban rooftop,stone,nostalgic,#76E13C,118,225,60,0.58,0.13,0.33
foggy mountain trail,crystal,playful,#468929,70,137,41,0.58,0.56,0.92
rainy night market,underground,peaceful,#174EEE,23,78,238,0.33,0.48,0.57
lantern-lit street,crystal,intense,#249952,36,153,82,0.16,0.55,0.54
neon arcade room,market,playful,#8A444F,138,68,79,0.54,0.47,0.36
futuristic lab,fog/mist,happy,#E5A28A,229,162,138,0.8,0.3,0.81
crystal cavern,temple,excited,#4136CB,65,54,203,0.43,0.64,0.71
ancient temple,rain,excited,#F3DB9C,243,219,156,0.15,0.59,0.7
desert highway,fog/mist,playful,#467B4F,70,123,79,0.51,0.53,0.36
foggy mountain trail,cave,dark,#09CAFA,9,202,250,0.55,0.76,0.59
lantern-lit street,cave,excited,#96EA84,150,234,132,0.68,0.18,0.47
ancient temple,cyber,calm,#E8E23D,232,226,61,0.95,0.46,0.61
urban rooftop,garden,happy,#666B14,102,107,20,0.64,0.6,0.98
underground bunker,market,focused,#67AE98,103,174,152,0.55,0.42,0.64
enchanted garden,stone,lonely,#87ED86,135,237,134,0.39,0.69,0.7
cyberpunk alley,cave,playful,#390CAC,57,12,172,0.93,0.38,0.43
desert highway,urban,dark,#88D270,136,210,112,0.97,0.82,0.46
stormy coastline,coast,playful,#628C39,98,140,57,0.27,0.89,0.51
old library,grassland,dark,#BAA8A7,186,168,167,0.37,0.95,1.0
sunrise beach,underground,focused,#AA2123,170,33,35,0.8,0.81,0.7
quiet meadow,cyber,lonely,#148FAE,20,143,174,0.11,0.93,0.4
urban rooftop,grassland,dark,#100E6C,16,14,108,0.75,0.14,0.89
sunrise beach,rain,dark,#47EDD4,71,237,212,0.69,0.69,0.75
urban rooftop,metal/rust,melancholic,#8E40BE,142,64,190,0.89,0.42,0.49
rainy night market,sand,intense,#A5A6B6,165,166,182,0.11,0.77,0.96
mossy cave,fog/mist,romantic,#B238C0,178,56,192,0.85,0.83,0.79
old library,nature,intense,#D5C456,213,196,86,0.98,0.94,0.44
neon arcade room,urban,focused,#4E0FE0,78,15,224,0.33,0.23,0.44
stormy coastline,concrete,nostalgic,#A66411,166,100,17,0.27,0.23,0.44
quiet meadow,artificial-light,peaceful,#6A88FB,106,136,251,0.65,0.49,0.93
rainy night market,grassland,serene,#D67423,214,116,35,0.53,0.59,0.51
neon arcade room,rain,serene,#45A9E8,69,169,232,0.27,0.57,0.79
rainy night market,temple,dark,#287644,40,118,68,0.23,0.66,0.46
neon arcade room,fog/mist,mysterious,#8D2A5A,141,42,90,0.59,0.97,0.6
futuristic lab,coast,lonely,#D34502,211,69,2,0.74,0.45,0.83
enchanted garden,nature,melancholic,#5774F0,87,116,240,0.74,0.46,0.58
stormy coastline,artificial-light,intense,#08AB2F,8,171,47,0.46,0.88,0.75
underground bunker,temple,nostalgic,#80A60A,128,166,10,0.61,0.8,0.76
dilapidated warehouse,stone,warm,#A16A72,161,106,114,0.24,0.47,0.61
old library,rain,excited,#F054A9,240,84,169,0.21,0.69,0.87
sunrise beach,garden,intense,#E9E08E,233,224,142,0.83,0.14,0.68
desert highway,grassland,calm,#23EFE9,35,239,233,0.28,0.11,0.62
lantern-lit street,sand,excited,#5B6C5D,91,108,93,0.87,0.53,0.99
futuristic lab,cave,dark,#5A7EE2,90,126,226,0.32,0.96,0.93
urban rooftop,stone,mysterious,#9C9B29,156,155,41,0.63,0.59,0.73
crystal cavern,market,lonely,#382B3B,56,43,59,0.82,0.1,0.31
foggy mountain trail,metal/rust,warm,#125F7A,18,95,122,0.78,0.71,0.35
mossy cave,temple,peaceful,#03BF9E,3,191,158,0.84,0.3,0.67
underground bunker,temple,mysterious,#BF06FE,191,6,254,0.51,0.37,0.34
lantern-lit street,cave,nostalgic,#E1EC49,225,236,73,0.87,0.91,0.54
abandoned railway,nature,nostalgic,#A8C9F6,168,201,246,0.64,0.62,0.35
lantern-lit street,artificial-light,melancholic,#0B7FC0,11,127,192,0.78,0.2,0.57
stormy coastline,metal/rust,romantic,#85C1FB,133,193,251,0.86,0.72,0.84
ancient temple,garden,excited,#F39647,243,150,71,0.45,0.43,0.62
crystal cavern,wood,romantic,#75A60D,117,166,13,0.41,0.18,0.84
stormy coastline,wood,focused,#7C7B87,124,123,135,0.22,0.21,0.7
rainy night market,temple,excited,#8FDA46,143,218,70,0.52,0.98,0.53
dilapidated warehouse,coast,peaceful,#5D7322,93,115,34,0.16,0.87,0.79
quiet meadow,underground,excited,#70FD35,112,253,53,0.92,0.24,0.46
old library,underground,intense,#2F1DA7,47,29,167,0.6,0.12,0.64
underground bunker,temple,warm,#9B118F,155,17,143,0.8,0.16,0.88
old library,artificial-light,nostalgic,#BEA8ED,190,168,237,0.4,0.54,0.85
quiet meadow,temple,calm,#863174,134,49,116,0.61,0.86,0.36
rainy night market,fog/mist,romantic,#7897D9,120,151,217,0.78,0.6,0.81
futuristic lab,wood,calm,#F58582,245,133,130,0.96,0.73,0.47
desert highway,metal/rust,romantic,#1C6629,28,102,41,0.16,0.84,0.84
rainy night market,sand,calm,#9EF102,158,241,2,0.99,0.68,0.58
ancient temple,underground,focused,#6DBAAB,109,186,171,0.37,0.87,0.82
foggy mountain trail,grassland,serene,#4EBAF7,78,186,247,0.52,0.83,0.4
forest shrine,crystal,nostalgic,#358889,53,136,137,0.62,0.81,0.7
lantern-lit street,stone,nostalgic,#BCAC31,188,172,49,0.44,0.38,0.71
lantern-lit street,temple,playful,#5B950A,91,149,10,0.16,0.51,0.71
crystal cavern,grassland,excited,#197BBF,25,123,191,0.69,0.36,0.43
desert highway,stone,lonely,#31151B,49,21,27,0.99,0.32,0.91
rainy night market,underground,happy,#53906B,83,144,107,0.51,0.27,0.79
underground bunker,stone,intense,#494A97,73,74,151,0.73,0.98,0.82
old library,wood,intense,#45B77B,69,183,123,0.8,0.63,0.57
dilapidated warehouse,metal/rust,dark,#520468,82,4,104,0.12,0.2,0.99
enchanted garden,fog/mist,romantic,#CEC63C,206,198,60,0.96,0.69,0.55
crystal cavern,lab,peaceful,#B719A8,183,25,168,0.61,0.48,0.42
old library,fog/mist,focused,#583F39,88,63,57,0.4,0.69,0.76
dilapidated warehouse,artificial-light,romantic,#104FD9,16,79,217,0.8,0.25,0.51
abandoned railway,urban,energetic,#5EF4EE,94,244,238,0.82,0.34,0.74
dilapidated warehouse,wood,romantic,#B6F91A,182,249,26,0.76,0.87,0.96
dilapidated warehouse,temple,lonely,#E89D06,232,157,6,0.29,0.66,0.33
futuristic lab,concrete,playful,#913B33,145,59,51,0.64,0.56,0.53
enchanted garden,urban,lonely,#EC3935,236,57,53,0.15,0.68,0.64
ancient temple,cyber,excited,#E53FB0,229,63,176,0.21,0.22,0.82
mossy cave,crystal,calm,#ED464C,237,70,76,0.33,0.96,0.93
ancient temple,lab,focused,#ABC28D,171,194,141,0.88,0.36,0.67
cyberpunk alley,wood,peaceful,#704CF4,112,76,244,0.33,0.55,0.68
rainy night market,grassland,excited,#1BDFBE,27,223,190,0.26,0.1,0.71
crystal cavern,concrete,focused,#0D7F2A,13,127,42,0.11,0.52,0.54
desert highway,crystal,excited,#7FC7A2,127,199,162,0.73,0.5,0.63
mossy cave,wood,nostalgic,#E9E79B,233,231,155,0.75,0.17,0.74
sunrise beach,underground,excited,#E3F423,227,244,35,0.7,0.36,0.51
dilapidated warehouse,lab,serene,#81149C,129,20,156,0.43,0.46,0.69
forest shrine,market,nostalgic,#ED262C,237,38,44,0.84,0.49,0.99
mossy cave,nature,energetic,#3D6756,61,103,86,0.14,0.87,0.94
foggy mountain trail,garden,focused,#63C360,99,195,96,0.39,0.51,0.88
quiet meadow,cyber,nostalgic,#D20E02,210,14,2,0.69,0.61,0.59
neon arcade room,lab,mysterious,#D1C2FF,209,194,255,0.4,0.24,0.84
dilapidated warehouse,sand,calm,#8013D3,128,19,211,0.82,0.64,0.63
neon arcade room,wood,dark,#94AE8C,148,174,140,0.17,0.47,0.32
old library,sand,dark,#6BE777,107,231,119,0.57,0.49,0.7
underground bunker,stone,mysterious,#4C2020,76,32,32,0.59,0.75,0.41
desert highway,nature,focused,#01F698,1,246,152,0.12,0.24,0.93
foggy mountain trail,market,playful,#F272C0,242,114,192,0.1,0.41,0.31
sunrise beach,rain,happy,#759AA4,117,154,164,0.88,0.82,0.34
cyberpunk alley,coast,intense,#DBDB07,219,219,7,0.25,0.34,0.51
desert highway,stone,intense,#235067,35,80,103,0.35,0.99,0.38
urban rooftop,temple,mysterious,#55435C,85,67,92,0.21,0.52,0.4
rainy night market,garden,excited,#6D18FF,109,24,255,0.9,0.32,0.39
futuristic lab,fog/mist,focused,#15319F,21,49,159,0.55,0.11,0.98
enchanted garden,sand,lonely,#634F31,99,79,49,0.66,0.23,0.85
mossy cave,cyber,mysterious,#E46A52,228,106,82,0.45,0.39,0.46
neon arcade room,concrete,focused,#C3AC9C,195,172,156,0.25,0.65,0.85
forest shrine,artificial-light,peaceful,#83C3C0,131,195,192,0.11,0.81,0.93
cyberpunk alley,underground,focused,#2F8159,47,129,89,0.6,0.23,0.81
mossy cave,grassland,focused,#B5B10B,181,177,11,0.66,0.65,0.34
futuristic lab,temple,happy,#E615B5,230,21,181,0.85,0.7,0.93
sunrise beach,coast,mysterious,#4C137E,76,19,126,0.11,0.26,1.0
dilapidated warehouse,market,warm,#62F894,98,248,148,0.25,0.55,0.72
urban rooftop,artificial-light,happy,#7822A9,120,34,169,0.85,0.29,0.31
dilapidated warehouse,sand,serene,#8A67AD,138,103,173,0.36,0.52,0.88
sunrise beach,market,happy,#5E7F01,94,127,1,0.31,0.21,0.87
abandoned railway,rain,melancholic,#E771F1,231,113,241,0.93,0.56,0.91
lantern-lit street,metal/rust,peaceful,#FEB0AB,254,176,171,0.3,0.41,0.9
urban rooftop,grassland,mysterious,#DFCBB5,223,203,181,0.7,0.55,0.37
forest shrine,market,energetic,#086E18,8,110,24,0.32,0.25,0.87
dilapidated warehouse,nature,happy,#26A776,38,167,118,0.65,0.92,0.99
rainy night market,urban,romantic,#627A4B,98,122,75,0.78,0.3,0.64
quiet meadow,fog/mist,calm,#50FFD7,80,255,215,0.65,0.58,0.89
desert highway,cave,serene,#38E7DA,56,231,218,0.8,0.9,0.36
futuristic lab,temple,happy,#255EF1,37,94,241,0.48,0.14,0.85
lantern-lit street,garden,peaceful,#5244E8,82,68,232,0.56,0.37,0.91
stormy coastline,concrete,serene,#EC7249,236,114,73,0.66,0.7,0.79
forest shrine,cyber,dark,#578514,87,133,20,0.65,0.76,0.78
quiet meadow,urban,nostalgic,#06E04C,6,224,76,0.29,0.33,0.88
futuristic lab,fog/mist,serene,#7EC690,126,198,144,0.78,0.3,0.37
mossy cave,cyber,intense,#BB482B,187,72,43,0.61,0.94,0.99
urban rooftop,fog/mist,intense,#F5603F,245,96,63,0.4,0.34,0.32
sunrise beach,stone,nostalgic,#4DF25F,77,242,95,0.54,0.76,0.87
desert highway,metal/rust,intense,#1732C9,23,50,201,0.14,0.8,0.4
underground bunker,concrete,mysterious,#D406E2,212,6,226,0.89,0.29,0.44
foggy mountain trail,temple,playful,#6FFB5F,111,251,95,0.19,0.77,0.68
urban rooftop,rain,excited,#2DD328,45,211,40,0.25,0.86,0.68
quiet meadow,grassland,mysterious,#B1480D,177,72,13,0.4,0.41,0.51
neon arcade room,lab,serene,#955EB9,149,94,185,0.27,0.15,0.62
enchanted garden,metal/rust,nostalgic,#B6835D,182,131,93,0.88,0.67,0.67
neon arcade room,stone,energetic,#23274E,35,39,78,0.76,0.11,0.97
foggy mountain trail,artificial-light,lonely,#DE5CCC,222,92,204,0.29,0.28,0.39
mossy cave,crystal,focused,#C10102,193,1,2,0.62,0.9,0.89
futuristic lab,rain,nostalgic,#4665A9,70,101,169,0.27,0.14,0.36
sunrise beach,crystal,serene,#8B9D3F,139,157,63,0.48,0.26,0.54
crystal cavern,stone,focused,#DFD1C5,223,209,197,0.26,0.36,0.74
abandoned railway,temple,romantic,#C92E40,201,46,64,0.76,0.68,1.0
old library,market,dark,#E28D75,226,141,117,0.61,0.37,0.43
foggy mountain trail,temple,peaceful,#000D2B,0,13,43,0.19,0.51,0.97
old library,wood,energetic,#D8F6D7,216,246,215,0.8,0.48,0.44
rainy night market,urban,melancholic,#9C193A,156,25,58,1.0,0.31,0.87
abandoned railway,cyber,nostalgic,#359388,53,147,136,0.75,0.6,0.85
foggy mountain trail,temple,playful,#61C091,97,192,145,0.12,0.79,0.67
mossy cave,urban,peaceful,#2F200F,47,32,15,0.36,0.57,0.53
enchanted garden,crystal,happy,#3F9E3F,63,158,63,0.52,0.24,0.97
quiet meadow,artificial-light,happy,#B87694,184,118,148,0.33,0.46,0.36
abandoned railway,garden,playful,#F6170C,246,23,12,0.11,0.79,0.94
neon arcade room,wood,mysterious,#BC67B9,188,103,185,0.96,0.64,0.93
neon arcade room,sand,happy,#ED468D,237,70,141,0.91,0.15,0.53
stormy coastline,grassland,playful,#6033FB,96,51,251,0.15,0.63,0.92
abandoned railway,grassland,intense,#BF4DD1,191,77,209,0.71,0.43,0.92
underground bunker,artificial-light,warm,#714C7A,113,76,122,0.6,0.9,0.71
ancient temple,rain,intense,#AE73C8,174,115,200,0.13,0.24,0.62
ancient temple,sand,melancholic,#3C40A0,60,64,160,0.86,0.84,0.7
ancient temple,market,melancholic,#9B9715,155,151,21,0.57,0.59,0.38
stormy coastline,cave,intense,#C45A4F,196,90,79,0.72,0.7,0.96
abandoned railway,grassland,dark,#45A819,69,168,25,0.67,0.6,0.78
underground bunker,coast,peaceful,#4BB0C2,75,176,194,0.28,0.74,0.91
sunrise beach,stone,calm,#336118,51,97,24,0.28,0.43,0.57
neon arcade room,artificial-light,happy,#F45376,244,83,118,0.29,0.36,0.54
futuristic lab,rain,happy,#59823A,89,130,58,0.41,0.86,0.71
sunrise beach,grassland,intense,#4E5EF9,78,94,249,0.49,0.75,0.9
ancient temple,rain,happy,#ACCAA6,172,202,166,0.53,0.5,0.3
desert highway,garden,warm,#E07E7F,224,126,127,0.82,0.88,0.65
dilapidated warehouse,concrete,lonely,#CF3A94,207,58,148,0.72,0.41,0.73
old library,cyber,melancholic,#92026F,146,2,111,0.12,0.35,0.84
stormy coastline,artificial-light,calm,#FBB797,251,183,151,0.29,0.34,0.4
cyberpunk alley,artificial-light,peaceful,#217086,33,112,134,0.93,0.33,0.8
lantern-lit street,temple,lonely,#680C59,104,12,89,0.58,0.9,0.47
neon arcade room,metal/rust,warm,#55E875,85,232,117,0.79,0.79,0.41
quiet meadow,nature,warm,#12A8E2,18,168,226,0.13,0.45,0.35
lantern-lit street,artificial-light,energetic,#BC96FE,188,150,254,0.94,0.73,0.42
enchanted garden,crystal,warm,#13B855,19,184,85,0.38,0.29,0.6
dilapidated warehouse,metal/rust,nostalgic,#FC54E9,252,84,233,0.33,0.8,0.55
mossy cave,sand,nostalgic,#72EF19,114,239,25,0.37,0.41,0.77
neon arcade room,lab,serene,#DD2A6C,221,42,108,0.82,0.67,0.49
cyberpunk alley,nature,intense,#20D4B8,32,212,184,0.52,0.22,0.55
lantern-lit street,stone,warm,#8A3972,138,57,114,0.2,0.28,0.87
crystal cavern,lab,warm,#5EED2C,94,237,44,0.13,0.57,0.82
sunrise beach,cave,happy,#9F635C,159,99,92,0.13,0.55,0.75
underground bunker,fog/mist,dark,#1E0135,30,1,53,0.61,0.91,0.87
old library,fog/mist,dark,#AA64A8,170,100,168,0.47,0.2,0.67
mossy cave,concrete,energetic,#08A5AA,8,165,170,0.36,0.78,0.6
enchanted garden,garden,focused,#CC5367,204,83,103,0.58,0.28,0.51
cyberpunk alley,market,intense,#F4ADCF,244,173,207,0.36,0.49,0.74
futuristic lab,metal/rust,calm,#EC4056,236,64,86,0.21,0.27,0.34
ancient temple,cyber,nostalgic,#9533B7,149,51,183,0.44,0.37,0.55
foggy mountain trail,grassland,calm,#84B141,132,177,65,0.78,0.73,0.58
desert highway,temple,energetic,#43B5FE,67,181,254,0.77,0.39,0.83
ancient temple,nature,excited,#BEDDEF,190,221,239,0.68,0.52,0.3
desert highway,lab,playful,#FEDA0F,254,218,15,0.71,0.72,0.98
dilapidated warehouse,fog/mist,melancholic,#988A0F,152,138,15,0.48,0.74,0.38
dilapidated warehouse,urban,mysterious,#3A2CB8,58,44,184,0.42,0.64,0.72
lantern-lit street,artificial-light,peaceful,#1DA4D7,29,164,215,0.73,0.47,0.7
urban rooftop,metal/rust,mysterious,#CF9448,207,148,72,0.42,0.52,0.81
enchanted garden,grassland,happy,#690CA5,105,12,165,0.13,0.94,0.61
abandoned railway,lab,playful,#BA4843,186,72,67,0.18,0.72,0.39
rainy night market,rain,focused,#0CE3E7,12,227,231,0.91,0.4,0.84
mossy cave,wood,playful,#FF0172,255,1,114,0.77,0.68,0.71
stormy coastline,lab,serene,#3169AA,49,105,170,0.76,0.51,0.78
foggy mountain trail,stone,romantic,#CDFB5B,205,251,91,0.94,0.46,0.81
cyberpunk alley,nature,calm,#6AE5CD,106,229,205,0.42,0.67,0.44
cyberpunk alley,concrete,mysterious,#36E922,54,233,34,0.75,0.63,0.61
quiet meadow,lab,nostalgic,#866C76,134,108,118,0.88,0.68,0.34
rainy night market,market,playful,#A1C00A,161,192,10,0.19,0.49,0.87
futuristic lab,metal/rust,focused,#BDF450,189,244,80,0.26,0.11,0.87
quiet meadow,garden,energetic,#0EC7A9,14,199,169,0.9,0.84,0.67
neon arcade room,artificial-light,intense,#219F77,33,159,119,0.51,0.51,0.63
mossy cave,cave,lonely,#DFA7D2,223,167,210,0.92,0.39,0.84
old library,lab,romantic,#17F560,23,245,96,0.2,0.66,0.47
desert highway,stone,dark,#E50C0E,229,12,14,0.52,0.87,0.67
dilapidated warehouse,wood,happy,#495B01,73,91,1,0.98,0.38,0.57
enchanted garden,cyber,melancholic,#540075,84,0,117,0.69,0.1,0.32
ancient temple,rain,happy,#58EEC1,88,238,193,0.32,0.56,0.46
desert highway,coast,serene,#A8F115,168,241,21,0.83,0.68,0.69
futuristic lab,stone,mysterious,#3E95AE,62,149,174,0.64,0.38,0.57
abandoned railway,stone,peaceful,#9D413E,157,65,62,0.86,0.5,0.62
enchanted garden,stone,happy,#AC9C60,172,156,96,0.65,0.72,0.69
desert highway,urban,happy,#0B9FBD,11,159,189,0.72,0.48,0.89
crystal cavern,market,focused,#FF4C08,255,76,8,0.89,0.83,0.82
desert highway,metal/rust,lonely,#F798EE,247,152,238,0.88,0.29,0.57
sunrise beach,underground,calm,#CD1D97,205,29,151,0.21,0.9,0.33
mossy cave,crystal,focused,#AC76E3,172,118,227,0.22,0.83,0.86
lantern-lit street,artificial-light,calm,#E4E23B,228,226,59,0.81,0.16,0.84
abandoned railway,lab,warm,#4DD608,77,214,8,0.43,0.3,0.73
cyberpunk alley,crystal,warm,#435B07,67,91,7,0.72,0.16,0.44
stormy coastline,garden,energetic,#A8C722,168,199,34,0.34,0.44,0.35
abandoned railway,coast,dark,#44BE9A,68,190,154,0.99,0.26,0.31
lantern-lit street,concrete,nostalgic,#14C62B,20,198,43,0.12,0.22,0.72
urban rooftop,sand,serene,#6E8904,110,137,4,0.97,0.11,0.31
crystal cavern,cave,melancholic,#C0BD75,192,189,117,0.36,0.23,0.35
crystal cavern,cyber,focused,#EA7C00,234,124,0,0.88,0.51,0.94
forest shrine,nature,romantic,#4C4359,76,67,89,0.49,0.44,0.81
sunrise beach,temple,nostalgic,#2D7746,45,119,70,0.47,0.88,0.81
cyberpunk alley,cave,happy,#194B45,25,75,69,0.63,0.98,0.86
old library,cave,happy,#6B4809,107,72,9,0.29,0.74,0.76
crystal cavern,fog/mist,excited,#6E4758,110,71,88,0.95,0.11,0.67
